tier,tier_key,top_n,n_anchor_declared,n_anchor_in_atlas,hits,expect,fold,pval,score_col,ranking
"PRIMARY (T1_validated, direct)",primary,50,12,7,2,0.0346089192128943,57.7885714285714,0.000495210040057046,audit_score,deterministic
"PRIMARY (T1_validated, direct)",primary,100,12,7,4,0.0692178384257886,57.7885714285714,3.07967602949051e-07,audit_score,deterministic
"PRIMARY (T1_validated, direct)",primary,200,12,7,4,0.138435676851577,28.8942857142857,4.95980612889607e-06,audit_score,deterministic
"PRIMARY (T1_validated, direct)",primary,500,12,7,5,0.346089192128943,14.4471428571429,5.60038112750824e-06,audit_score,deterministic
"PRIMARY (T1_validated, direct)",primary,1000,12,7,5,0.692178384257886,7.22357142857143,0.000165825537977717,audit_score,deterministic
SECONDARY (T1+T2),secondary,50,28,18,4,0.0889943636902996,44.9466666666667,1.53744815042978e-06,audit_score,deterministic
SECONDARY (T1+T2),secondary,100,28,18,7,0.177988727380599,39.3283333333333,2.17589417345816e-10,audit_score,deterministic
SECONDARY (T1+T2),secondary,200,28,18,8,0.355977454761198,22.4733333333333,7.51538644897223e-10,audit_score,deterministic
SECONDARY (T1+T2),secondary,500,28,18,9,0.889943636902996,10.113,5.36042330526993e-08,audit_score,deterministic
SECONDARY (T1+T2),secondary,1000,28,18,10,1.77988727380599,5.61833333333333,1.7836400182797e-06,audit_score,deterministic
SECONDARY (T1+T2),secondary,50,28,18,3,0.0889943636902996,33.71,8.80760694045891e-05,audit_score,mc_median
SECONDARY (T1+T2),secondary,100,28,18,5,0.177988727380599,28.0916666666667,6.61391512054152e-07,audit_score,mc_median
SECONDARY (T1+T2),secondary,200,28,18,5,0.355977454761198,14.0458333333333,1.99936752607828e-05,audit_score,mc_median
SECONDARY (T1+T2),secondary,500,28,18,7,0.889943636902996,7.86566666666667,1.36851411290916e-05,audit_score,mc_median
SECONDARY (T1+T2),secondary,1000,28,18,8,1.77988727380599,4.49466666666667,0.000157273476858702,audit_score,mc_median
