tier,top_n,n_anchor_in_atlas,hits,expect,fold,pval
"PRIMARY (T1_validated, direct)",50,7,1,0.03,28.9,0.0341097652899829
"PRIMARY (T1_validated, direct)",100,7,2,0.07,28.9,0.00196825605786852
"PRIMARY (T1_validated, direct)",200,7,2,0.14,14.4,0.00765492413927699
"PRIMARY (T1_validated, direct)",500,7,4,0.35,11.6,0.000183390482616137
"PRIMARY (T1_validated, direct)",1000,7,5,0.69,7.2,0.000165825537977717
SECONDARY (T1+T2),50,18,3,0.09,33.7,8.80760694045891e-05
SECONDARY (T1+T2),100,18,5,0.18,28.1,6.61391512054152e-07
SECONDARY (T1+T2),200,18,5,0.36,14,1.99936752607828e-05
SECONDARY (T1+T2),500,18,8,0.89,9,9.524069199254e-07
SECONDARY (T1+T2),1000,18,9,1.78,5.1,1.85757840421539e-05
EXPLORATORY (all),50,19,3,0.09,31.9,0.000104226516402394
EXPLORATORY (all),100,19,5,0.19,26.6,8.90585787236354e-07
EXPLORATORY (all),200,19,5,0.38,13.3,2.67002797632845e-05
EXPLORATORY (all),500,19,8,0.94,8.5,1.57422345931311e-06
EXPLORATORY (all),1000,19,9,1.88,4.8,3.22051165111006e-05
