component,role,weight_or_multiplier,formula_position,biology_rationale,sample_features,locked_value
layer_presence,positive,0.20,positive_score additive,Multi-modal evidence가 marker의 robustness를 강화. 4 layer 동시 support는 cross-modality robustness.,"layer_count(0-4), rna_present, prot_present, scrna_present, serum_present",weight=0.20
direction_agreement,positive,0.20,positive_score additive,진짜 stage-onset signal은 cohort/layer 간 direction 일치. Cross-cohort + cross-layer voting consensus.,"cross_cohort_sign_concord, cross_layer_sign_concord, voting_score",weight=0.20
early_pattern_concentration,positive,0.20,positive_score additive,4-Early-pattern framework의 prerequisite. Stage I-onset shape match가 early-detection 가능 조건.,"max_rho_early_pattern, lrt_padj, pattern_assignment",weight=0.20
serum_bridge,positive,0.10,positive_score additive,Tissue→serum translation success가 PDAC marker 임상 가치 핵심. Secreted + serum-detectable + direction concord.,"serum_detected, tissue_serum_direction_concord, signal_peptide_present, serum_pdac_meta_padj",weight=0.10
rescue_signal,positive,0.10,positive_score additive (strict eligibility),"RNA weak/artifact여도 protein/scRNA/serum 강하면 rescue. LTBP1 case capture. STRICT eligibility: (1) RNA tier ARTIFACT/OTHER (2) ≥2 other layer GOLD/SILVER (3) direction concordance 필요. HK/plasma penalty는 rescue override 불가.","rna_weak_other_strong (binary, all 3 conditions), max_other_layer_strength",weight=0.10
positive_score_sum,positive,0.80 max,sum of 5 positive components,Summed normalized to [0, max=0.80] across atlas; final min-max to [0,1].,N/A,sum_max=0.80
leakage_multiplier_strict_housekeeping,gating,0.00,multiplicative gate,HPA/Eisenberg housekeeping list. Score 완전 crush — biology baseline fluctuation을 marker로 오인하지 않게.,"is_housekeeping (binary, from HPA/Eisenberg list)",HK_mult=0.00
leakage_multiplier_high_abundance_plasma,gating,0.50,multiplicative gate,"Anderson 2002 plasma top-decile (ALB, IGH/IGK, complement, acute-phase). Abundance ≠ marker quality, halve.","plasma_high_abundance (binary, from Anderson reference list)",plasma_mult=0.50
leakage_multiplier_both_HK_and_plasma,gating,0.00,multiplicative gate,Both flags → lowest multiplier wins (=0.00).,"is_housekeeping AND plasma_high_abundance",both_mult=0.00
rescue_override_HK_plasma,policy,blocked,policy rule,"Rescue signal cannot override leakage_multiplier. HK gene with rescue eligible features still gets multiplier 0.00.","rescue_signal_eligible × leakage flags",rescue_HK_override=FALSE
heterogeneity_multiplier_low,gating,1.00,multiplicative gate,"I² < 50: no penalty. Multi-cohort biology에서 moderate heterogeneity 흔함, early-marker는 cohort composition 민감.",max_I2_meta < 50,het_mult_low=1.00
heterogeneity_multiplier_moderate,gating,1.00,multiplicative gate (uncertainty only),"I² 50-70: score penalty 없음, uncertainty만 증가. CI 폭 확장으로 처리.","max_I2_meta in [50, 70)",het_mult_mod=1.00
heterogeneity_multiplier_soft,gating,0.70,multiplicative gate,"I² 70-90: soft penalty. LTBP1 max_I²=75%면 0.70 multiplier — rescue signal로 어느 정도 보강 가능.","max_I2_meta in [70, 90)",het_mult_soft=0.70
heterogeneity_multiplier_strong,gating,0.30,multiplicative gate,"I² >90: strong penalty. Cohort 간 거의 완전 disagreement → effectively unreliable.",max_I2_meta >= 90,het_mult_strong=0.30
final_score_formula,combined,N/A,master,"score = positive_score × leakage_multiplier × heterogeneity_multiplier; min-max normalize to [0,1] across atlas.",N/A,formula_locked=2026-05-05
uncertainty_propagation,quantification,N/A,uncertainty,"audit_uncertainty = f(per-cohort SE, max_I2_meta band, missingness across layers, bootstrap on feature normalization). I² 50-70 band의 uncertainty가 score 외에 noted됨.","cohort SE, I² band, missingness count, bootstrap N=200",uncertainty_anchor_free=TRUE
