top_n,n_anchors,hits,fold,pval,dropped
50,17,3,35.6929411764706,7.36529658622294e-05,TIMP1
100,17,4,23.7952941176471,1.94067774562096e-05,TIMP1
200,17,4,11.8976470588235,0.000288657058009806,TIMP1
500,17,7,8.32835294117647,8.73352226997143e-06,TIMP1
50,17,2,23.7952941176471,0.00310731241093859,THBS2
100,17,4,23.7952941176471,1.94067774562096e-05,THBS2
200,17,4,11.8976470588235,0.000288657058009806,THBS2
500,17,7,8.32835294117647,8.73352226997143e-06,THBS2
50,17,3,35.6929411764706,7.36529658622294e-05,ANPEP
100,17,5,29.7441176470588,4.8143580699026e-07,ANPEP
200,17,5,14.8720588235294,1.46746830366608e-05,ANPEP
500,17,7,8.32835294117647,8.73352226997143e-06,ANPEP
50,17,3,35.6929411764706,7.36529658622294e-05,PIGR
100,17,5,29.7441176470588,4.8143580699026e-07,PIGR
200,17,5,14.8720588235294,1.46746830366608e-05,PIGR
500,17,8,9.51811764705882,5.52939059093088e-07,PIGR
50,17,3,35.6929411764706,7.36529658622294e-05,CEACAM5
100,17,5,29.7441176470588,4.8143580699026e-07,CEACAM5
200,17,5,14.8720588235294,1.46746830366608e-05,CEACAM5
500,17,8,9.51811764705882,5.52939059093088e-07,CEACAM5
50,17,2,23.7952941176471,0.00310731241093859,MUC16
100,17,4,23.7952941176471,1.94067774562096e-05,MUC16
200,17,4,11.8976470588235,0.000288657058009806,MUC16
500,17,7,8.32835294117647,8.73352226997143e-06,MUC16
50,17,3,35.6929411764706,7.36529658622294e-05,TNC
100,17,5,29.7441176470588,4.8143580699026e-07,TNC
200,17,5,14.8720588235294,1.46746830366608e-05,TNC
500,17,8,9.51811764705882,5.52939059093088e-07,TNC
50,17,3,35.6929411764706,7.36529658622294e-05,SERPINA1
100,17,5,29.7441176470588,4.8143580699026e-07,SERPINA1
200,17,5,14.8720588235294,1.46746830366608e-05,SERPINA1
500,17,7,8.32835294117647,8.73352226997143e-06,SERPINA1
50,17,3,35.6929411764706,7.36529658622294e-05,REG3A
100,17,5,29.7441176470588,4.8143580699026e-07,REG3A
200,17,5,14.8720588235294,1.46746830366608e-05,REG3A
500,17,8,9.51811764705882,5.52939059093088e-07,REG3A
50,17,3,35.6929411764706,7.36529658622294e-05,CEACAM1
100,17,4,23.7952941176471,1.94067774562096e-05,CEACAM1
200,17,4,11.8976470588235,0.000288657058009806,CEACAM1
500,17,7,8.32835294117647,8.73352226997143e-06,CEACAM1
50,17,3,35.6929411764706,7.36529658622294e-05,TTR
100,17,5,29.7441176470588,4.8143580699026e-07,TTR
200,17,5,14.8720588235294,1.46746830366608e-05,TTR
500,17,8,9.51811764705882,5.52939059093088e-07,TTR
50,17,3,35.6929411764706,7.36529658622294e-05,VWF
100,17,5,29.7441176470588,4.8143580699026e-07,VWF
200,17,5,14.8720588235294,1.46746830366608e-05,VWF
500,17,8,9.51811764705882,5.52939059093088e-07,VWF
50,17,3,35.6929411764706,7.36529658622294e-05,IL6ST
100,17,5,29.7441176470588,4.8143580699026e-07,IL6ST
200,17,5,14.8720588235294,1.46746830366608e-05,IL6ST
500,17,8,9.51811764705882,5.52939059093088e-07,IL6ST
50,17,3,35.6929411764706,7.36529658622294e-05,TNFRSF11B
100,17,5,29.7441176470588,4.8143580699026e-07,TNFRSF11B
200,17,5,14.8720588235294,1.46746830366608e-05,TNFRSF11B
500,17,8,9.51811764705882,5.52939059093088e-07,TNFRSF11B
50,17,3,35.6929411764706,7.36529658622294e-05,POSTN
100,17,5,29.7441176470588,4.8143580699026e-07,POSTN
200,17,5,14.8720588235294,1.46746830366608e-05,POSTN
500,17,8,9.51811764705882,5.52939059093088e-07,POSTN
50,17,3,35.6929411764706,7.36529658622294e-05,IGFBP2
100,17,5,29.7441176470588,4.8143580699026e-07,IGFBP2
200,17,5,14.8720588235294,1.46746830366608e-05,IGFBP2
500,17,8,9.51811764705882,5.52939059093088e-07,IGFBP2
50,17,3,35.6929411764706,7.36529658622294e-05,PLAUR
100,17,5,29.7441176470588,4.8143580699026e-07,PLAUR
200,17,5,14.8720588235294,1.46746830366608e-05,PLAUR
500,17,7,8.32835294117647,8.73352226997143e-06,PLAUR
50,17,2,23.7952941176471,0.00310731241093859,MSLN
100,17,4,23.7952941176471,1.94067774562096e-05,MSLN
200,17,4,11.8976470588235,0.000288657058009806,MSLN
500,17,7,8.32835294117647,8.73352226997143e-06,MSLN
