dropped,K_remaining,hits,expect,fold,pval
TIMP1,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
THBS2,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
ANPEP,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
PIGR,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
CEACAM5,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
MUC16,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
TNC,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
SERPINA1,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
REG3A,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
CEACAM1,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
TTR,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
VWF,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
IL6ST,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
TNFRSF11B,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
POSTN,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
IGFBP2,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
PLAUR,17,7,0.168100464748344,41.6417647058824,1.34050249563465e-10
MSLN,17,6,0.168100464748344,35.6929411764706,9.10651235520831e-09
